Mês,Usuários Cadastrados,Novos Usuários,Pagantes,Taxa Conversão,Free Users,MRR Assinaturas,Receita Microtransações,Receita Ads,Receita B2B,MRR Total,Receita Acumulada,Custos Mensais (Guerrilha),Resultado Mensal,Resultado Acumulado
1,100,100,3,3.0%,97,R$90,R$0,R$0,R$0,R$90,R$0,R$33,-R$0,-R$0
2,300,200,9,3.0%,291,R$270,R$5,R$10,R$0,R$285,R$90,R$35,--,--
3,800,500,24,3.0%,776,R$720,R$20,R$50,R$0,R$790,R$375,R$35,--,--
4,1000,200,30,3.0%,970,R$900,R$40,R$80,R$50,R$1070,R$1145,R$35,--,--
5,1400,400,42,3.0%,1358,R$1260,R$80,R$120,R$100,R$1560,R$2205,R$35,--,--
6,3000,1600,90,3.0%,2910,R$2500,R$200,R$300,R$200,R$3200,R$4705,R$40,--,--
7,3500,500,105,3.0%,3395,R$2950,R$300,R$350,R$300,R$3900,R$7905,R$50,--,--
8,5000,1500,150,3.0%,4850,R$4200,R$500,R$500,R$500,R$5700,R$13305,R$70,--,--
9,7000,2000,210,3.0%,6790,R$5900,R$800,R$800,R$800,R$8300,R$20005,R$100,--,--
10,10000,3000,300,3.0%,9700,R$8400,R$1200,R$1200,R$1000,R$11800,R$30105,R$150,--,--
11,12000,2000,360,3.0%,11640,R$10100,R$1600,R$1500,R$1200,R$14400,R$41905,R$200,--,--
12,15000,3000,450,3.0%,14550,R$12600,R$2000,R$2000,R$1500,R$18100,R$55105,R$300,--,--
13,20000,5000,600,3.0%,19400,R$16800,R$2800,R$2700,R$2000,R$24300,R$70505,R$400,--,--
14,25000,5000,750,3.0%,24250,R$21000,R$3800,R$3500,R$2500,R$30800,R$95405,R$500,--,--
15,30000,5000,900,3.0%,29100,R$25200,R$5000,R$5000,R$3000,R$38200,R$126605,R$600,--,--
16,35000,5000,1050,3.0%,33950,R$29400,R$6500,R$6000,R$3500,R$45400,R$166005,R$700,--,--
17,45000,10000,1350,3.0%,43650,R$37800,R$8500,R$7500,R$4000,R$57800,R$213805,R$850,--,--
18,60000,15000,1800,3.0%,58200,R$50400,R$11000,R$10000,R$5000,R$76400,R$274205,R$1000,--,--